research,toefl,intern,greV,greQ,greA,gpa,major,univ,target_univ,admit
53,95.0,3.0,148.0,152.0,3.0,0.748,OE,3,Wayne State University,1
0,93.0,2.0,151.0,151.0,3.5,0.764,OE,2,Wayne State University,1
0,81.0,0.0,146.0,162.0,3.0,0.69,OE,5,Wayne State University,1
0,83.0,0.0,150.0,155.0,3.0,0.56,OE,3,Wayne State University,1
0,100.0,0.0,149.0,161.0,3.0,0.58,OE,3,Wayne State University,1
0,107.0,0.0,149.0,160.0,3.0,0.794,OE,3,Wayne State University,1
0,90.0,0.0,142.0,154.0,3.5,0.6779000000000001,OE,2,Wayne State University,1
0,97.0,0.0,145.0,165.0,3.5,0.58,EE,3,Wayne State University,1
0,97.0,0.0,144.0,152.0,3.0,0.758,OE,3,Wayne State University,1
0,93.0,0.0,149.0,151.0,3.0,0.64,OE,3,Wayne State University,1
0,99.0,0.0,135.0,170.0,3.0,0.782,,3,Wayne State University,1
0,80.0,0.0,141.0,156.0,2.5,0.76,EE,3,Wayne State University,1
0,96.0,3.0,145.0,162.0,3.5,0.62,EE,5,Wayne State University,1
0,97.0,0.0,145.0,158.0,3.0,0.77,EE,2,Wayne State University,1
0,83.0,0.0,143.0,159.0,3.0,0.602,OE,3,Wayne State University,1
6,100.0,0.0,143.0,159.0,3.5,0.72,OE,5,Wayne State University,1
0,103.0,0.0,145.0,159.0,3.0,0.68,EE,5,Wayne State University,1
0,106.0,0.0,157.0,154.0,3.0,0.57,OE,2,Wayne State University,1
0,112.0,0.0,161.0,160.0,3.0,0.5907,EE,3,Wayne State University,1
0,113.0,0.0,150.0,170.0,5.5,0.7314,OE,3,Wayne State University,1
0,83.0,0.0,142.0,161.0,3.0,0.745,OE,3,Wayne State University,1
0,102.0,0.0,146.0,161.0,3.5,0.604,OE,5,Wayne State University,1
0,100.0,0.0,130.0,168.0,2.5,0.6779000000000001,OE,2,Wayne State University,1
0,105.0,0.0,146.0,160.0,3.5,0.7,OE,5,Wayne State University,1
0,84.0,0.0,136.0,166.0,2.5,0.8240000000000001,OE,3,Wayne State University,1
0,100.0,0.0,143.0,163.0,3.0,0.65,BA,3,Wayne State University,1
0,110.0,0.0,153.0,165.0,3.0,0.77,OE,5,Wayne State University,1
0,96.0,0.0,139.0,156.0,2.5,0.8160000000000001,OE,3,Wayne State University,1
0,88.0,0.0,145.0,151.0,2.5,0.62,EE,3,Wayne State University,1
0,84.0,0.0,146.0,147.0,3.0,0.6679999999999999,EE,5,Wayne State University,1
0,82.0,0.0,145.0,159.0,3.0,0.53,OE,3,Wayne State University,1
0,94.0,0.0,137.0,169.0,3.5,0.56,OE,3,Wayne State University,1
0,97.0,0.0,144.0,160.0,3.5,0.665,OE,5,Wayne State University,1
0,87.0,0.0,146.0,161.0,3.0,0.836,OE,4,Wayne State University,1
0,83.0,0.0,133.0,164.0,3.0,0.65,OE,3,Wayne State University,1
0,98.0,0.0,147.0,170.0,3.5,0.5835,OE,5,Wayne State University,1
0,91.0,0.0,142.0,162.0,3.0,0.687,OE,3,Wayne State University,1
0,83.0,2.0,144.0,156.0,2.5,0.65,OE,5,Wayne State University,1
0,85.0,0.0,146.0,150.0,3.0,0.65,CS,3,Wayne State University,1
0,92.0,0.0,151.0,162.0,3.0,0.66,OE,2,Wayne State University,1
0,84.0,0.0,147.0,150.0,2.5,0.7909999999999999,OE,3,Wayne State University,1
0,7.0,0.0,149.0,158.0,3.5,0.6,OE,3,Wayne State University,1
0,97.0,0.0,149.0,161.0,3.0,0.6799999999999999,OE,5,Wayne State University,1
0,87.0,0.0,150.0,159.0,2.5,0.65,OE,3,Wayne State University,1
0,102.0,0.0,149.0,155.0,3.0,0.53,OE,3,Wayne State University,1
0,98.0,0.0,147.0,161.0,3.5,0.57,OE,3,Wayne State University,0
0,92.0,0.0,147.0,157.0,3.0,0.56,CS,3,Wayne State University,0
0,98.0,0.0,146.0,166.0,3.0,0.8630000000000001,EE,4,Wayne State University,0
0,94.0,0.0,145.0,170.0,3.0,0.06849999999999999,OE,3,Wayne State University,0
0,92.0,6.0,145.0,153.0,3.0,0.72,OE,3,Wayne State University,0
0,89.0,0.0,148.0,159.0,3.0,0.57,OE,3,Wayne State University,0
0,93.0,0.0,147.0,159.0,3.5,0.6,OE,3,Wayne State University,0
0,82.0,0.0,151.0,159.0,3.0,0.583,EE,3,Wayne State University,0
0,99.0,0.0,150.0,170.0,3.0,0.714,EE,3,Wayne State University,0
0,108.0,3.0,151.0,157.0,3.5,0.7,OE,3,Wayne State University,0
0,86.0,14.0,145.0,156.0,3.0,0.5846,EE,3,Wayne State University,0
0,6.0,3.0,159.0,137.0,3.5,0.67,OE,3,Wayne State University,0
0,114.0,0.0,145.0,166.0,4.0,0.69,EE,3,Wayne State University,0
0,113.0,2.0,159.0,170.0,4.0,0.77,OE,5,Virginia Polytechnic Institute and State University,1
0,102.0,0.0,150.0,167.0,3.0,0.8029999999999999,EE,3,Virginia Polytechnic Institute and State University,1
0,113.0,0.0,148.0,170.0,4.0,0.61,CS,3,Virginia Polytechnic Institute and State University,1
12,111.0,4.0,158.0,170.0,4.5,0.9119999999999999,EE,3,Virginia Polytechnic Institute and State University,1
0,111.0,0.0,165.0,170.0,4.0,0.6,OE,4,Virginia Polytechnic Institute and State University,1
0,111.0,1.0,152.0,161.0,4.0,0.9099999999999999,OE,3,Virginia Polytechnic Institute and State University,1
0,105.0,0.0,154.0,165.0,3.5,0.701,EE,5,Virginia Polytechnic Institute and State University,1
4,116.0,4.0,152.0,167.0,4.0,0.9470000000000001,OE,2,Virginia Polytechnic Institute and State University,1
0,116.0,0.0,158.0,170.0,4.0,0.852,EE,2,Virginia Polytechnic Institute and State University,1
